TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed
Connecticut,2002,1163,1985,2021,W02,18,Connecticut,BE,27-7,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.18,34,107.3,44,99.1,26,1.72,118,2
Notre Dame,2002,1323,1985,2021,Y08,19,Notre Dame,BE,21-11,19.27,116.1,14,96.8,52,68.6,149,-0.087,307,7.33,47,105.4,98,98.1,8,-1.55,205,8
NC State,2002,1301,1985,2021,W07,21,N.C. State,ACC,23-11,19.15,113.2,33,94,26,67.5,193,0.012,136,8.27,31,108.6,20,100.4,65,-5.56,283,7
Alabama,2002,1104,1985,2021,Y02,22,Alabama,SEC,27-8,18.73,114,24,95.3,32,68,170,0.076,21,8.59,29,107.1,46,98.5,15,-1.56,206,2
Xavier,2002,1462,1985,2021,Z07,23,Xavier,A10,26-6,18.6,111.2,48,92.6,17,67,206,0.051,54,5.09,76,106.7,55,101.6,95,5.37,47,7
Gonzaga,2002,1211,1985,2021,Z06,24,Gonzaga,WCC,28-4,18.51,115.6,18,97.1,53,68.5,155,0.049,61,1.12,133,103.7,147,102.6,130,4.04,75,6
Georgia,2002,1208,1985,2021,W03,25,Georgia,SEC,22-9,18.44,116.7,9,98.3,73,69.2,121,-0.021,206,9.87,17,108.1,30,98.2,12,3.3,83,3
Mississippi St,2002,1280,1985,2021,X03,26,Mississippi St.,SEC,27-8,18.25,111.4,43,93.1,20,67.9,174,0.107,6,8.93,25,106.7,56,97.7,6,-0.96,187,3
Texas,2002,1400,1985,2021,X06,27,Texas,B12,22-12,17.69,116,15,98.3,74,68.5,150,-0.021,208,10.18,15,109.1,14,98.9,23,5.3,50,6
Missouri,2002,1281,1985,2021,Z12,29,Missouri,B12,24-12,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108,34,100,54,-0.39,166,12
Wake Forest,2002,1448,1985,2021,X07,30,Wake Forest,ACC,21-13,17.35,118.6,6,101.3,126,69.5,108,0.006,156,11.24,9,109.1,12,97.9,7,5.85,44,7
Texas Tech,2002,1403,1985,2021,W06,31,Texas Tech,B12,23-9,17.24,114.6,21,97.4,59,69.8,96,0.061,36,6.69,55,106.8,50,100.2,61,-0.13,159,6
Michigan St,2002,1277,1985,2021,W10,32,Michigan St.,B10,19-12,16.86,113,34,96.2,38,63.3,297,-0.026,219,9.76,19,108.5,21,98.7,19,1.51,126,10
Mississippi,2002,1279,1985,2021,Z09,34,Mississippi,SEC,19-11,16.68,113.3,31,96.7,48,64.7,279,-0.04,253,7.32,48,105.9,80,98.6,16,-6.23,292,9
UCLA,2002,1417,1985,2021,Z08,35,UCLA,P10,21-12,16.34,113.7,27,97.3,58,68.1,167,0.048,62,12,6,110.1,7,98.1,10,8.58,20,8
California,2002,1143,1985,2021,Y06,37,California,P10,23-9,16.03,109.8,66,93.7,25,66.6,220,0.088,12,7.89,42,107.9,36,100,53,-5.85,285,6
Oklahoma St,2002,1329,1985,2021,Y07,38,Oklahoma St.,B12,23-9,15.8,107.9,88,92.1,13,66,241,0.047,64,7.11,51,107.8,38,100.7,73,0.53,149,7
Miami FL,2002,1274,1986,2021,Z05,39,Miami FL,BE,24-8,15.77,110.5,56,94.7,30,69.1,129,0.017,118,5.75,67,105,109,99.3,32,-5.03,273,5
Charlotte,2002,1150,1985,2021,Y09,40,Charlotte,CUSA,18-12,15.73,114.2,23,98.5,77,66.8,214,-0.008,185,9.23,22,107.3,43,98.1,9,6.48,36,9
Tulsa,2002,1409,1985,2021,W12,41,Tulsa,WAC,26-7,15.59,116,16,100.4,107,69.5,110,0.001,169,2.03,122,103.7,151,101.7,100,-1.44,202,12
WKU,2002,1443,1985,2021,X09,44,Western Kentucky,SB,26-4,14.51,110.5,55,96,36,67.5,192,0.06,40,0.23,150,103.1,177,102.8,138,0.29,153,9
Utah,2002,1428,1985,2021,Y12,45,Utah,MWC,19-9,14.08,111.4,44,97.3,57,62.1,314,0.01,140,5.38,73,106.2,74,100.8,75,1.57,123,12
Valparaiso,2002,1434,1985,2021,W13,47,Valparaiso,MCon,24-8,13.63,111.5,42,97.8,65,68.7,144,-0.032,239,-1.66,196,102.9,183,104.6,216,2.05,110,13
S Illinois,2002,1356,1985,2021,W11,49,Southern Illinois,MVC,28-8,13.45,109.2,73,95.7,33,70.6,71,0.034,86,2.11,119,105.2,105,103.1,148,3.16,86,11
Wisconsin,2002,1458,1985,2021,W08,50,Wisconsin,B10,18-13,13.22,110.7,53,97.5,61,63.3,299,0.049,60,10.57,12,108.9,16,98.3,14,8.49,22,8
Hawaii,2002,1218,1985,2021,Z10,51,Hawaii,WAC,26-6,13.15,110.3,58,97.2,55,65.6,253,0.007,154,-0.72,178,102.8,188,103.5,173,-9.7,319,10
Penn,2002,1335,1985,2020,Y11,58,Penn,Ivy,25-7,12.23,110.2,60,98,68,65.6,252,-0.019,200,-2.38,210,101.9,212,104.3,202,0.99,136,11
Creighton,2002,1166,1985,2021,X12,59,Creighton,MVC,23-9,11.82,111.3,47,99.5,92,66.9,213,0.029,99,1.39,129,104.8,113,103.4,167,0.94,138,12
Pepperdine,2002,1337,1985,2021,X10,62,Pepperdine,WCC,21-9,11.72,111.1,49,99.3,89,72.4,33,0.061,35,3.96,95,105.7,87,101.7,102,11.94,8,10
UNC Wilmington,2002,1423,1985,2021,Y13,65,UNC Wilmington,CAA,23-10,11.32,107.4,98,96.1,37,63.9,292,-0.003,173,0.83,141,103.2,169,102.4,119,4.56,65,13
Wyoming,2002,1461,1985,2021,Z11,67,Wyoming,MWC,22-9,11.01,107.8,91,96.7,50,69,136,0.032,92,3.51,100,105.5,94,102,109,-5.47,282,11
Boston College,2002,1130,1985,2021,X11,71,Boston College,BE,20-12,9.97,109.4,70,99.4,91,69.1,128,0.04,75,6.41,58,105.3,102,98.9,22,-2.77,230,11
San Diego St,2002,1361,1985,2021,X13,74,San Diego St.,MWC,21-12,9.29,106.9,104,97.6,62,70,93,0.055,46,5.64,70,106.7,53,101.1,82,0.67,144,13
St John's,2002,1385,1985,2021,W09,76,St. John's,BE,20-12,9.06,102.7,170,93.6,24,69.1,125,0.089,11,6.4,59,106.5,61,100.1,57,-0.79,181,9
UC Santa Barbara,2002,1364,1985,2021,Z14,77,UC Santa Barbara,BW,19-11,8.87,108.2,81,99.3,90,63.4,296,-0.058,284,0.45,146,103.1,175,102.6,134,3.37,82,14
McNeese St,2002,1270,1985,2021,X14,100,McNeese St.,Slnd,20-9,5.39,103.2,157,97.8,66,66.2,235,0.023,108,-4.6,244,99.6,258,104.2,197,12.81,5,14
Hampton,2002,1214,1996,2021,W15,116,Hampton,MEAC,25-7,3.99,109.9,64,105.9,227,69.1,127,0.013,133,-8.67,291,98.3,285,107,292,0.87,141,15
IL Chicago,2002,1227,1985,2021,Z15,118,Illinois Chicago,Horz,18-14,3.85,108.9,74,105,208,67.5,191,0.04,74,1.84,124,104.1,136,102.2,118,0.66,145,15
Davidson,2002,1172,1985,2021,Z13,119,Davidson,SC,18-10,3.7,101.5,187,97.8,64,65.1,271,0.142,1,1.8,125,104.2,131,102.4,124,9.42,13,13
Murray St,2002,1293,1985,2021,W14,146,Murray St.,OVC,17-13,1.35,106.8,106,105.5,215,69.2,122,0.017,115,-1.74,198,103.2,170,104.9,228,3.98,76,14
Central Conn,2002,1148,1987,2021,Y14,150,Central Connecticut,NEC,27-5,0.93,100.6,202,99.7,96,64,291,0.137,3,-11.95,318,97.4,307,109.3,323,-4.99,271,14
Holy Cross,2002,1221,1985,2021,X16,162,Holy Cross,Pat,18-15,-0.24,98.1,245,98.4,75,62.2,313,-0.048,268,-6.4,264,99.5,261,105.9,262,-3.38,246,16
Siena,2002,1373,1985,2021,W16b,174,Siena,MAAC,17-19,-1.21,100.8,201,102,141,66.5,223,-0.07,296,-4.14,237,100.1,246,104.2,199,-0.42,167,16
FL Atlantic,2002,1194,1994,2021,Y15,191,Florida Atlantic,ASun,18-12,-2.5,99.6,220,102.1,142,70.2,82,0.06,38,-4.94,247,101.9,213,106.9,289,-4.52,267,15
Boston Univ,2002,1131,1985,2021,Z16,194,Boston University,AE,22-10,-2.74,101.3,192,104,187,64.5,282,0.102,7,-9.18,299,97.5,305,106.6,284,0.25,154,16
Montana,2002,1285,1985,2021,X15,210,Montana,BSky,14-15,-4.51,102.4,176,106.9,239,68.5,156,0.053,51,-1.95,199,103.2,168,105.2,236,0.44,150,15
Winthrop,2002,1457,1987,2021,Y16,219,Winthrop,BSth,17-12,-5.31,97.3,258,102.6,155,65.9,243,0.038,79,-10.73,311,97,313,107.7,304,-0.98,188,16
Alcorn St,2002,1108,1985,2021,W16a,252,Alcorn St.,SWAC,20-10,-8.71,100.1,213,108.8,268,73,23,0.097,8,-14.53,325,95,325,109.6,325,2.59,101,16
Kentucky,2003,1246,1985,2021,Y01,1,Kentucky,SEC,32-4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,1
Kansas,2003,1242,1985,2021,Z02,2,Kansas,B12,30-8,28.62,115,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,2
Pittsburgh,2003,1338,1985,2021,Y02,3,Pittsburgh,BE,28-5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,2
Arizona,2003,1112,1985,2021,Z01,4,Arizona,P10,28-4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,1
Illinois,2003,1228,1985,2021,Z04,5,Illinois,B10,25-7,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,4
Duke,2003,1181,1985,2021,Z03,6,Duke,ACC,26-7,23.75,115,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,3
Texas,2003,1400,1985,2021,X01,7,Texas,B12,26-7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.7,7,2.16,104,1
Syracuse,2003,1393,1985,2021,W03,8,Syracuse,BE,30-5,23.28,114.4,17,91.1,14,71,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,3
Oklahoma,2003,1328,1985,2021,W01,9,Oklahoma,B12,27-7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,1
Louisville,2003,1257,1985,2021,W04,10,Louisville,CUSA,25-7,22.75,115.8,9,93,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,4
Florida,2003,1196,1985,2021,X02,11,Florida,SEC,25-8,22.14,116.5,6,94.4,36,65,256,0.008,140,8.3,36,105.9,56,97.6,24,-0.9,174,2
Wisconsin,2003,1458,1985,2021,Y05,12,Wisconsin,B10,24-8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,5
Maryland,2003,1268,1985,2021,X06,13,Maryland,ACC,21-10,22,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,6
Mississippi St,2003,1280,1985,2021,W05,14,Mississippi St.,SEC,21-10,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,27,106.9,23,98,34,-2.62,218,5
Marquette,2003,1266,1985,2021,Y03,15,Marquette,CUSA,27-6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,3
St Joseph's PA,2003,1386,1985,2021,W07,17,Saint Joseph's,A10,23-7,20.75,109,58,88.3,6,64.1,281,-0.049,279,4.6,88,105,74,100.4,95,5.8,43,7
Notre Dame,2003,1323,1985,2021,Z05,18,Notre Dame,BE,24-10,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,5
Michigan St,2003,1277,1985,2021,X07,19,Michigan St.,B10,22-13,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,7
Xavier,2003,1462,1985,2021,X03,20,Xavier,A10,26-6,19.88,113.8,19,94,29,67.7,131,0.018,120,4.79,86,105,75,100.2,90,4.81,56,3
Wake Forest,2003,1448,1985,2021,W02,21,Wake Forest,ACC,25-6,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.8,58,98,35,-3.8,249,2
Connecticut,2003,1163,1985,2021,X05,22,Connecticut,BE,23-10,19.54,111.6,26,92,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,5
LSU,2003,1261,1985,2021,X08,23,LSU,SEC,21-11,18.15,111,33,92.8,24,67.5,140,-0.035,262,6.27,67,104.8,80,98.6,55,-8.36,311,8
BYU,2003,1140,1985,2021,X12,24,BYU,MWC,23-9,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.3,11,101.8,130,5.2,52,12
Oklahoma St,2003,1329,1985,2021,W06,25,Oklahoma St.,B12,22-10,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,15,-1.17,183,6
Creighton,2003,1166,1985,2021,Z06,26,Creighton,MVC,29-5,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,6
Purdue,2003,1345,1985,2021,X09,27,Purdue,B10,19-11,17.42,107,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98,36,4.87,55,9
Missouri,2003,1281,1985,2021,Y06,28,Missouri,B12,22-11,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,6
Memphis,2003,1272,1985,2021,Z07,29,Memphis,CUSA,23-7,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.83,84,103.4,133,98.6,54,3.33,81,7
Arizona St,2003,1113,1985,2021,Z10,30,Arizona St.,P10,20-12,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,10
Butler,2003,1139,1985,2021,W12,31,Butler,Horz,27-6,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,12
Gonzaga,2003,1211,1985,2021,Z09,33,Gonzaga,WCC,24-9,15.58,113.2,21,97.7,82,66.9,170,-0.021,220,3.92,93,104,115,100.1,87,5.83,42,9
Colorado,2003,1160,1985,2021,X10,34,Colorado,B12,20-12,15.27,109.1,56,93.8,28,69.9,56,0.001,162,9.02,23,106.9,24,97.8,30,0.22,151,10
Cincinnati,2003,1153,1985,2021,Z08,36,Cincinnati,CUSA,17-12,14.69,105,116,90.3,13,66.4,188,-0.066,297,7.32,51,106.6,33,99.3,68,3.65,68,8
UNC Wilmington,2003,1423,1985,2021,X11,37,UNC Wilmington,CAA,24-7,14.62,109.5,49,94.9,43,64.1,279,-0.031,248,-2.47,209,99.2,252,101.7,127,-0.81,173,11
Alabama,2003,1104,1985,2021,Y10,38,Alabama,SEC,17-12,14.6,110.3,39,95.7,54,65.3,243,-0.015,205,9.55,16,106.6,32,97.1,11,2.31,102,10
Stanford,2003,1390,1985,2021,X04,39,Stanford,P10,24-9,14.57,109.8,46,95.2,49,65.6,226,0.066,35,7.26,53,106.2,46,98.9,63,3.75,66,4
Dayton,2003,1173,1985,2021,Y04,40,Dayton,A10,24-6,14.53,116.4,8,101.9,161,64.4,270,0.084,14,4.91,83,104.4,99,99.5,75,5.51,47,4
Indiana,2003,1231,1985,2021,Y07,41,Indiana,B10,21-13,14.48,113.4,20,98.9,102,63.7,284,0.05,57,10.49,8,107.2,13,96.8,8,9.29,20,7
Oregon,2003,1332,1985,2021,Y08,42,Oregon,P10,23-10,14.25,111.4,29,97.1,73,71.2,28,0.032,87,5.23,76,105.1,73,99.8,85,-4.45,262,8
Utah,2003,1428,1985,2021,Y09,44,Utah,MWC,25-8,14.04,106.6,91,92.6,23,62.1,308,0.069,32,5.24,75,106.7,29,101.5,119,1.55,117,9
Auburn,2003,1120,1985,2021,W10,46,Auburn,SEC,22-12,13.63,107.7,74,94.1,31,66.6,181,0.051,52,8.22,39,106,55,97.8,27,-4.71,267,10
California,2003,1143,1985,2021,W08,47,California,P10,22-9,13.59,109.9,45,96.3,63,65.9,208,0.061,42,7.06,57,106.7,31,99.6,79,0.3,147,8
Penn,2003,1335,1985,2020,W11,48,Penn,Ivy,22-6,13.35,110.3,41,96.9,68,63.3,290,0.035,82,-1.53,182,100.4,221,101.9,132,3.49,71,11
NC State,2003,1301,1985,2021,W09,50,N.C. State,ACC,18-13,13.18,111.2,30,98.1,88,65,257,-0.023,223,8.48,34,106.9,22,98.4,49,-6.48,292,9
Tulsa,2003,1409,1985,2021,Y13,51,Tulsa,WAC,23-10,13.04,107.9,70,94.9,41,67.4,150,-0.061,291,1.05,139,102.7,155,101.7,124,4.16,62,13
WI Milwaukee,2003,1454,1991,2021,Z12,52,Milwaukee,Horz,23-8,12.97,109,60,96,59,71.2,31,0.025,101,2.06,121,104.8,79,102.8,172,1.05,130,12
S Illinois,2003,1356,1985,2021,Y11,55,Southern Illinois,MVC,24-7,11.76,110.3,40,98.6,96,67.8,125,0.063,39,1.97,124,103.5,129,101.5,120,3.35,79,11
WKU,2003,1443,1985,2021,Z13,56,Western Kentucky,SB,24-9,11.75,108,65,96.3,61,67.2,156,0.035,78,1.09,138,103.1,143,102,137,2.09,107,13
Holy Cross,2003,1221,1985,2021,Y14,66,Holy Cross,Pat,25-5,10.4,105.5,107,95.1,45,65.1,250,0.065,37,-5.57,260,99,258,104.5,252,-0.64,170,14
Manhattan,2003,1264,1985,2021,W14,68,Manhattan,MAAC,23-7,10.04,105.5,106,95.4,52,68.1,117,0.014,125,-1.71,184,101.7,182,103.4,202,2.52,94,14
C Michigan,2003,1141,1985,2021,Z11,70,Central Michigan,MAC,25-7,10.01,109.5,51,99.4,113,71.7,20,0.137,3,2.06,122,104.3,102,102.3,152,2.86,89,11
Weber St,2003,1451,1985,2021,Y12,76,Weber St.,BSky,25-5,8.88,111.4,28,102.5,172,66.5,186,0.073,26,-1.73,185,100.5,219,102.2,151,1.29,124,12
San Diego,2003,1360,1985,2021,X13,80,San Diego,WCC,17-12,8.32,104.7,119,96.4,64,70.9,34,0.003,160,3.37,100,104.8,81,101.4,113,6.03,37,13
Utah St,2003,1429,1985,2021,Z15,88,Utah St.,BW,22-9,7.41,107.1,85,99.7,117,61,315,0.003,159,-2,193,101.1,198,103.1,188,-0.07,155,15
Troy,2003,1407,1994,2021,X14,99,Troy St.,ASun,25-6,6.15,106.9,88,100.8,140,70.3,47,0.105,9,-5.2,253,99.3,251,104.5,248,-2.77,222,14
Colorado St,2003,1161,1985,2021,Z14,104,Colorado St.,MWC,17-14,5.96,110.6,37,104.6,205,67.1,162,0.031,88,4.39,89,104.6,86,100.2,92,-3.45,235,14
Austin Peay,2003,1122,1985,2021,W13,135,Austin Peay,OVC,20-8,2.65,100.7,197,98,86,64.4,273,0.171,1,-0.97,170,104.2,109,105.1,279,7.41,27,13
ETSU,2003,1190,1985,2021,W15,147,East Tennessee St.,SC,17-11,1.75,101.3,186,99.6,116,75.2,3,0.036,76,-1.8,188,102.1,169,103.9,219,4.8,57,15
Vermont,2003,1436,1985,2021,Z16,150,Vermont,AE,19-11,1.57,101.1,191,99.5,114,64.4,271,0.019,119,-5.14,251,99.3,249,104.4,245,-2.29,213,16
Sam Houston St,2003,1358,1987,2021,X15,157,Sam Houston St.,Slnd,21-7,0.82,101.5,179,100.6,136,67.2,158,0.088,13,-7.41,280,97,296,104.4,246,-2,204,15
IUPUI,2003,1237,1999,2021,Y16,161,IUPUI,MCon,19-14,0.46,102.9,153,102.5,171,67,164,0.071,27,-2.19,201,102.6,157,104.8,265,2.79,90,16
Wagner,2003,1447,1985,2021,Y15,179,Wagner,NEC,21-11,-1.16,104.7,118,105.9,238,67.6,134,0.049,61,-7.45,282,98.9,261,106.3,294,2.39,99,15
S Carolina St,2003,1354,1985,2021,W16,244,South Carolina St.,MEAC,20-11,-8.59,96.4,260,105,221,71.7,21,0.115,6,-12.27,318,95.2,317,107.5,315,-0.55,165,16
TX Southern,2003,1411,1985,2021,X16a,260,Texas Southern,SWAC,18-13,-10.45,98.3,238,108.7,281,68.4,104,0.037,75,-12.96,321,94.4,322,107.4,314,-8.09,308,16
UNC Asheville,2003,1421,1987,2021,X16b,283,UNC Asheville,BSth,14-17,-12.35,101.2,187,113.5,319,68,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,16
Duke,2004,1181,1985,2021,W01,1,Duke,ACC,31-6,32.33,120.8,2,88.5,3,67.7,94,-0.028,232,12.59,7,109.5,7,96.9,4,2.42,94,1
Connecticut,2004,1163,1985,2021,X02,2,Connecticut,BE,33-6,28.3,117.8,9,89.5,6,68.2,75,0.012,140,8.93,18,107.7,27,98.8,14,-2.05,216,2
St Joseph's PA,2004,1386,1985,2021,Y01,3,Saint Joseph's,A10,30-2,27.66,118.9,5,91.2,12,66.1,148,0.06,42,6.99,40,107.1,38,100.1,43,8.86,10,1
Oklahoma St,2004,1329,1985,2021,Y02,4,Oklahoma St.,B12,31-4,27.37,118.5,6,91.1,11,64.8,203,0.029,92,7.56,31,107.7,29,100.1,44,-5.55,274,2
Pittsburgh,2004,1338,1985,2021,Y03,5,Pittsburgh,BE,31-5,25.91,114.1,20,88.2,2,59.7,314,-0.028,235,5.97,56,106.4,63,100.5,65,-8.2,305,3
Wisconsin,2004,1458,1985,2021,Y06,6,Wisconsin,B10,25-7,25.74,116,14,90.3,8,60.7,310,-0.001,174,8.34,23,108,20,99.7,30,3.63,64,6
Gonzaga,2004,1211,1985,2021,Z02,7,Gonzaga,WCC,28-3,25.34,120.8,3,95.5,36,66.6,128,0.013,136,3.28,105,105.5,94,102.2,116,7,23,2
Georgia Tech,2004,1210,1985,2021,Z03,8,Georgia Tech,ACC,28-10,24.69,113.5,28,88.8,4,69.1,49,0.008,148,13.74,3,110.8,2,97.1,5,0.97,138,3
NC State,2004,1301,1985,2021,X03,9,N.C. State,ACC,21-10,23.98,119.1,4,95.1,33,62.1,292,-0.072,298,12.81,6,109.5,6,96.7,3,-0.59,179,3
Kentucky,2004,1246,1985,2021,Z01,10,Kentucky,SEC,27-5,23.35,113.5,26,90.1,7,66.1,151,0.031,87,8.97,16,108.3,16,99.3,21,3.47,67,1
North Carolina,2004,1314,1985,2021,W06,11,North Carolina,ACC,19-11,23.23,117.4,10,94.1,23,70.9,16,-0.091,311,13.85,2,110.2,4,96.4,2,2.76,79,6
Stanford,2004,1390,1985,2021,X01,12,Stanford,P10,30-2,22.52,111.9,42,89.3,5,64.5,212,0.051,56,3.76,99,105.9,78,102.2,117,-1.79,209,1
Illinois,2004,1228,1985,2021,W05,13,Illinois,B10,26-7,22.11,117.8,8,95.7,39,63.5,252,0.055,47,8.13,26,107.7,28,99.5,26,2.52,89,5
Mississippi St,2004,1280,1985,2021,W02,14,Mississippi St.,SEC,26-4,21.74,114.7,18,92.9,17,68.1,82,0.021,114,6.38,48,106.3,69,99.9,39,-1.89,210,2
Wake Forest,2004,1448,1985,2021,Y04,15,Wake Forest,ACC,21-10,21.69,121.6,1,99.9,102,70.4,23,-0.019,216,13.52,4,109.6,5,96.1,1,1.79,116,4
Cincinnati,2004,1153,1985,2021,W04,16,Cincinnati,CUSA,25-7,21.56,116.1,13,94.5,26,66.7,127,0.003,163,5.62,66,105.6,90,100,41,-0.28,172,4
Texas,2004,1400,1985,2021,W03,17,Texas,B12,25-8,21.54,115.6,16,94.1,22,64.7,206,0.038,72,9.27,14,109.1,11,99.8,35,0.8,143,3
Kansas,2004,1242,1985,2021,Z04,18,Kansas,B12,24-9,20.89,112.3,38,91.4,13,69.4,40,0.017,125,10.39,11,109.2,10,98.8,15,6.53,30,4
Louisville,2004,1257,1985,2021,W10,19,Louisville,CUSA,20-10,20.44,107.1,94,86.6,1,67.4,106,-0.079,303,7.09,39,107,43,99.9,37,4.23,57,10
